""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"label"
"128110"	0.371900826446281	0.578512396694215	0.363636363636364	0.449586776859504	0.214876033057851	0.00826446280991736	0.00661157024793388	0.00495867768595041	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128120"	0.38343949044586	0.643312101910828	0.492993630573248	0.369426751592357	0.0509554140127389	0.0394904458598726	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128123"	0.307692307692308	0.676923076923077	0.484615384615385	0.367307692307692	0.0884615384615385	0.0230769230769231	0.0442307692307692	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128124"	0.333870967741935	0.569354838709677	0.412903225806452	0.470967741935484	0.143548387096774	0.0209677419354839	0.0370967741935484	0.00806451612903226	0.00161290322580645	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128137"	0.257471264367816	0.629885057471264	0.436781609195402	0.473563218390805	0.160919540229885	0.00689655172413793	0.00229885057471264	0.00919540229885057	0.00689655172413793	0.00689655172413793	0.00459770114942529	0	0.00229885057471264	1e-05	1e-05	1e-05	"c"
"128142"	0.351111111111111	0.635555555555556	0.502222222222222	0.2	0.284444444444444	0.00444444444444444	0.00444444444444444	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"128143"	0.34375	0.703125	0.528125	0.3125	0.0625	0.0125	0.0125	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396607"	0.374074074074074	0.672222222222222	0.437037037037037	0.327777777777778	0.144444444444444	0.0111111111111111	0.0222222222222222	0.00740740740740741	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"396608"	0.351464435146443	0.824267782426778	0.598744769874477	0.0878661087866109	0.118828451882845	0.0117154811715481	0.00334728033472803	0.000836820083682008	0.00125523012552301	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559195"	0.422950819672131	0.644262295081967	0.447540983606557	0.240983606557377	0.167213114754098	0.0131147540983607	0.0114754098360656	0.0344262295081967	0.0147540983606557	0.00163934426229508	0	0	0	1e-05	1e-05	1e-05	"c"
"9559196"	0.439393939393939	0.71969696969697	0.431818181818182	0.206060606060606	0.136363636363636	0.0106060606060606	0.0257575757575758	0.0196969696969697	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559229"	0.390184381778742	0.58909978308026	0.36382863340564	0.396095444685466	0.257754880694143	0.00244034707158351	0.000379609544468547	0.000162689804772234	0	0	0	0	0	0	1e-05	1e-05	"c"
"9559230"	0.392035928143713	0.620479041916168	0.385988023952096	0.35502994011976	0.241556886227545	0.00215568862275449	0.00173652694610778	0.000718562874251497	5.98802395209581e-05	5.98802395209581e-05	0.000119760479041916	0	1e-05	1e-05	1e-05	1e-05	"c"
"9559237"	0.413793103448276	0.813793103448276	0.441379310344828	0.096551724137931	0.220689655172414	0.00689655172413793	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559249"	0.354430379746835	0.787341772151899	0.607594936708861	0.0253164556962025	0.220253164556962	0	0.00253164556962025	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559257"	0.495424836601307	1.1281045751634	0.109803921568627	0.237908496732026	0.0274509803921569	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559258"	0.3	1.13333333333333	0.0833333333333333	0.2	0.1	0.05	0.116666666666667	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559259"	0.454945054945055	1.05714285714286	0.224175824175824	0.173626373626374	0.0835164835164835	0	0.0043956043956044	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559266"	0.48786717752235	0.882375478927203	0.254406130268199	0.274457215836526	0.0724137931034483	0.0106002554278416	0.00996168582375479	0.00498084291187739	0.00191570881226054	0.000510855683269476	0.000127713920817369	0	0.000127713920817369	1e-05	1e-05	1e-05	"c"
"9559268"	0.471895424836601	1.02222222222222	0.159477124183007	0.284967320261438	0.0509803921568627	0.00392156862745098	0.00261437908496732	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559269"	0.546666666666667	0.72	0.413333333333333	0.12	0	0.146666666666667	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559270"	0.2	1.6	0	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559271"	0.441441441441441	1.15495495495495	0.183783783783784	0.2	0.0162162162162162	0.0018018018018018	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559273"	0.312883435582822	0.596319018404908	0.565644171779141	0.466257668711656	0.050920245398773	0.00306748466257669	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559284"	0.367532467532468	0.676623376623377	0.384415584415584	0.290909090909091	0.242857142857143	0.0142857142857143	0.00909090909090909	0.0103896103896104	0.0025974025974026	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
